,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
478,484,6037570204,4130,Los Angeles,90805,Long Beach,-118.1556129,33.871632899999994,861.93,60.73,55.29,6.81,84.18,79.52,84.88,49.8,72.96,61.08468126,1192.0,1.80114177,7.7601071820000005,56272.0,3.59
482,488,6037124104,2439,Los Angeles,91606,North Hollywood,-118.38341,34.184861299999994,1196.87,75.18,52.18,6.43,77.6,70.64,79.13,57.5,81.81,89.33074685,1074.0,1.371483996,12.85989389,32038.0,2.51
483,489,6037302503,4330,Los Angeles,91205,Glendale,-118.2473422,34.1376048,718.53,51.5,53.09,6.54,79.85,58.06,66.59,56.8,81.09,92.82229965,1226.0,1.451567944,17.77944852,36052.0,3.1
492,498,6037237101,3705,Los Angeles,90044,Los Angeles,-118.2913772,33.9856234,1036.75,69.33,47.53,5.85,65.45,115.42,95.75,72.5,94.63,71.90160833,974.0,1.385052034,6.801190325,24849.0,3.46
495,501,6037204410,2363,Los Angeles,90033,Los Angeles,-118.2152707,34.0461881,2970.76,97.29,58.28,7.18,88.96,96.21,91.7,68.2,91.8,90.89481947,924.0,1.039246468,8.683230835,30313.0,3.59
497,503,6059011601,7955,Orange ,92832,Fullerton,-117.9286329,33.8608345,3431.09,98.55,62.6,7.71,94.37,53.09,60.25,58.4,82.7,83.61307420000001,1327.0,1.6276501769999998,7.836310836,48622.0,3.44
498,504,6037534406,4609,Los Angeles,90201,Bell,-118.1749749,33.96474970000001,2122.15,92.04,57.73,7.11,88.09,48.15,53.9,70.2,93.12,88.62275449,1198.0,1.99500998,10.43628623,42500.0,4.99
499,505,6037237300,5262,Los Angeles,90047,Los Angeles,-118.31107140000002,33.9782833,1061.24,70.25,52.77,6.5,79.07,140.42,98.23,53.1,77.0,53.44262295,1141.0,1.3524590159999998,7.4228981570000006,32202.0,2.85
500,506,6037207301,4521,Los Angeles,90013,Los Angeles,-118.2516175,34.0465369,656.58,46.74,71.68,8.83,99.13,103.86,93.45,44.3,66.03,91.74157303,1324.0,0.712640449,33.49732521,38176.0,1.36
501,507,6037531901,6529,Los Angeles,90022,Los Angeles,-118.1423614,34.01324,861.67,60.72,57.16,7.04,87.11,62.41,71.81,52.2,75.81,65.33254856,993.0,1.758092996,8.918974593,39825.0,3.96
502,508,6037192620,3868,Los Angeles,90004,Los Angeles,-118.2960541,34.0776717,2480.73,94.81,56.54,6.96,86.06,65.18,74.43,65.2,89.25,96.05911329999999,1037.0,1.13546798,20.23763644,31571.0,2.95
505,511,6037199201,4089,Los Angeles,90031,Los Angeles,-118.211907,34.0762204,1000.19,67.67,62.04,7.64,93.75,45.01,49.38,61.8,86.02,85.59393429,969.0,1.1280539170000001,12.15517012,33517.0,3.4
