,Unnamed: 0,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
3292,3341,6075025800,1960,San Francisco,94134,San Francisco,-122.4020019,37.7216202,1781.25,88.11,40.19,4.95,45.35,58.91,67.72,40.6,60.4,39.09531502,1358.0,1.542810985,10.36364912,72868.0,3.3
3305,3354,6037269903,3650,Los Angeles,90034,Los Angeles,-118.4064763,34.0209031,1100.63,71.69,49.24,6.07,70.59,39.08,40.43,29.9,44.68,96.65099882,1441.0,1.349001175,24.26763063,58125.0,2.1
3312,3361,6037189905,2304,Los Angeles,90046,Los Angeles,-118.3515882,34.100603,1429.29,81.45,45.09,5.55,58.89,28.41,22.32,26.6,38.88,83.31043956,1497.0,1.089972527,22.80575636,52167.0,1.5
3313,3362,6037101210,5990,Los Angeles,91042,Tujunga,-118.2907309,34.2529724,1042.22,69.55,34.18,4.21,29.72,43.41,46.91,55.6,79.75,86.89236111,1141.0,1.4466145830000001,14.32936051,36701.0,2.48
3320,3369,6037301203,4368,Los Angeles,91202,Glendale,-118.26094779999998,34.166257200000004,458.03,26.49,46.39,5.71,62.38,35.16,33.82,28.3,41.97,59.43138327,1634.0,1.5872061240000002,13.52073825,58149.0,2.41
3325,3374,6075012402,3974,San Francisco,94102,San Francisco,-122.4177669,37.780125,780.95,55.58,38.27,4.71,40.75,70.86,79.22,41.6,61.94,93.46517627,1019.0,0.306534824,26.2974903,40453.0,1.44
3332,3381,6037276100,5592,Los Angeles,90045,Los Angeles,-118.3730208,33.9759315,2531.58,95.15,51.28,6.32,75.68,39.5,41.03,32.5,48.69,83.51945854,1775.0,1.4795262269999998,12.14109337,64228.0,1.97
3336,3385,6037481711,4530,Los Angeles,91755,Monterey Park,-118.1198426,34.0661708,761.16,54.37,44.99,5.54,58.61,20.25,8.3,55.5,79.57,71.53284672,1259.0,1.459854015,12.39370916,40060.0,2.99
3363,3412,6073002202,4859,San Diego,92105,San Diego,-117.1051018,32.7523973,1189.53,74.93,27.47,3.38,14.23,80.83,85.55,76.3,97.12,93.80952381,864.0,1.15297619,13.96384185,22083.0,3.14
3430,3480,6037141303,3089,Los Angeles,91403,Sherman Oaks,-118.4552476,34.15493529999999,3690.25,99.03,47.31,5.83,64.83,38.56,39.52,22.9,32.24,76.15780446,1574.0,1.383647799,26.93729495,62649.0,1.91
3432,3482,6037195902,1905,Los Angeles,90026,Los Angeles,-118.2791664,34.0871531,963.64,65.74,53.12,6.54,79.98,47.5,53.11,36.2,54.17,75.429727,1348.0,1.449949444,12.07082377,69479.0,1.92
3435,3485,6059074006,5555,Orange ,92707,Santa Ana,-117.8817476,33.6980366,804.85,57.09,45.58,5.61,60.17,35.15,33.79,47.1,69.6,71.15875447,1456.0,1.641653905,11.79762579,51989.0,2.92
3436,3486,6059075003,7408,Orange ,92706,Santa Ana,-117.87072279999998,33.7572599,1035.73,69.29,41.88,5.16,50.22,28.62,22.7,83.2,99.07,92.70644967,1088.0,1.310427969,12.7592865,33125.0,4.3
3440,3490,6073004501,2875,San Diego,92102,San Diego,-117.1381735,32.717632,257.89,9.09,33.1,4.08,26.85,96.4,91.8,50.5,73.76,87.63866878,1116.0,1.3129952459999998,15.57192767,50938.0,2.13
3443,3493,6085500901,3723,Santa Clara,95192,San Jose,-121.8840872,37.3351796,499.41,30.64,42.97,5.29,52.99,72.5,80.29,41.4,61.61,83.51914687,1487.0,1.00484731,11.58230732,61458.0,1.94
3462,3513,6037125502,3083,Los Angeles,91602,North Hollywood,-118.3655446,34.156628600000005,1763.11,87.86,53.81,6.63,81.37,37.03,37.07,46.2,68.61,80.94405594,1459.0,1.4329836830000002,13.28025186,57188.0,1.93
3476,3527,6073002401,4573,San Diego,92104,San Diego,-117.1151978,32.7470742,2387.7,94.17,32.35,3.98,25.25,65.38,74.59,59.1,83.46,77.33659133,1106.0,1.4227244959999998,10.13136038,42549.0,2.91
3486,3537,6001423100,3964,Alameda ,94702,Berkeley,-122.2863197,37.865807,536.16,34.49,42.77,5.27,52.33,94.27,91.04,30.5,45.72,65.48980607,1296.0,1.23172551,10.87051121,60037.0,2.12
3492,3543,6037143604,3205,Los Angeles,91604,Studio City,-118.3681384,34.1420581,2039.72,91.3,66.23,8.16,96.98,23.95,14.03,18.4,23.31,95.23809524,1802.0,1.24496809,15.43299901,64933.0,1.67
3506,3558,6037576801,4325,Los Angeles,90814,Long Beach,-118.1642818,33.77157570000001,764.43,54.59,38.98,4.8,42.45,28.78,23.1,52.8,76.57,75.94132029,1155.0,1.355012225,16.07735422,53750.0,2.06
3510,3562,6073002201,3796,San Diego,92105,San Diego,-117.1124957,32.7524807,1581.55,84.56,28.7,3.53,16.83,66.83,75.98,74.3,95.84,90.42735043,999.0,1.276068376,13.249206900000003,32074.0,3.05
3515,3567,6037297602,3503,Los Angeles,90731,San Pedro,-118.2903209,33.7159024,369.17,18.12,47.89,5.9,66.56,84.98,87.56,22.4,31.38,58.75073659,1200.0,1.680023571,11.03979608,61637.0,2.31
3517,3569,6001406300,4113,Alameda ,94601,Oakland,-122.2250125,37.7892881,468.88,27.72,30.69,3.78,21.19,110.47,94.74,53.2,77.1,64.33915212,1062.0,1.68162926,10.02249285,43307.0,3.41
3518,3570,6037216401,4189,Los Angeles,90035,Los Angeles,-118.3797435,34.05668970000001,1580.31,84.55,47.96,5.91,66.82,31.8,28.43,34.8,52.23,88.39373164,1606.0,1.340352595,20.15672673,53704.0,2.16
