,Census Tract,Total Population,California County,ZIP,Nearby City,Longitude,Latitude,Traffic,Traffic Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Poverty,Poverty Pctl
715,6037541300,6044,Los Angeles,90222,Compton,-118.24109070000002,33.911833,523.82,33.26,47.37,5.83,64.99,102.03,93.12,64.0,88.17
716,6037573003,1802,Los Angeles,90806,Long Beach,-118.20206909999999,33.7943972,1062.94,70.28,53.56,6.6,80.86,87.72,88.48,42.8,63.76
717,6037228410,3320,Los Angeles,90011,Los Angeles,-118.26911319999999,34.013740000000006,769.49,54.94,54.01,6.65,81.78,63.52,73.07,81.8,98.82
718,6071001307,4163,San Bernardino,91764,Ontario,-117.61987340000002,34.0885081,591.77,40.62,54.81,6.75,83.35,60.25,69.37,39.5,58.89
719,6059086502,6551,Orange ,92801,Anaheim,-117.91003049999999,33.847616200000004,3683.34,99.01,61.33,7.55,93.14,47.42,53.02,68.5,92.01
720,6019005202,3619,Fresno ,93726,Fresno,-119.7439756,36.7873266,587.03,40.01,48.9,6.02,69.53,115.75,95.79,70.0,92.95
721,6037535607,4775,Los Angeles,90280,South Gate,-118.22111149999999,33.9419439,1066.23,70.46,56.97,7.02,86.81,40.0,42.0,49.8,72.96
722,6047002000,7835,Merced ,95322,Gustine,-120.95912759999999,37.200081899999994,254.66,8.8,55.65,6.85,84.73,62.44,71.84,53.0,76.87
723,6071004302,4413,San Bernardino,92411,San Bernardino,-117.33109180000001,34.1121388,450.79,25.88,48.37,5.96,67.89,136.47,97.99,80.6,98.54
724,6037191720,3770,Los Angeles,90038,Los Angeles,-118.3123611,34.08878970000001,1653.15,86.0,52.43,6.46,78.25,50.68,57.04,68.2,91.8
725,6037186403,2899,Los Angeles,90065,Los Angeles,-118.2394938,34.1118266,1769.79,87.96,61.07,7.52,92.89,69.42,78.29,45.2,67.28
726,6037132101,4259,Los Angeles,91406,Van Nuys,-118.49565520000002,34.1902625,1316.67,78.63,63.09,7.77,94.75,74.19,81.54,29.9,44.68
727,6037540501,6943,Los Angeles,90262,Lynwood,-118.2193043,33.9247083,2648.62,95.9,61.72,7.6,93.54,48.59,54.51,66.6,90.47
728,6065045303,3035,Riverside ,92201,Indio,-116.21146850000001,33.7247482,505.07,31.28,46.0,5.67,61.33,62.93,72.43,79.5,98.19
729,6067007301,4644,Sacramento ,95652,McClellan,-121.3980764,38.662725,668.19,47.52,50.3,6.2,73.47,107.13,94.09,65.7,89.69
730,6037240800,4377,Los Angeles,90002,Los Angeles,-118.26189299999999,33.939705200000006,841.47,59.56,52.04,6.41,77.25,58.49,67.27,67.2,90.95
731,6065042620,10463,Riverside ,92571,Perris,-117.20488780000001,33.8306663,955.88,65.46,58.63,7.22,89.61,50.72,57.08,42.9,63.92
732,6037222002,4655,Los Angeles,90018,Los Angeles,-118.31327820000001,34.0218914,852.2,60.17,47.73,5.88,66.07,93.35,90.56,52.0,75.56
733,6037204300,4787,Los Angeles,90033,Los Angeles,-118.20787240000001,34.038749200000005,893.97,62.41,51.12,6.3,75.25,69.5,78.38,76.1,96.96
734,6067004702,4945,Sacramento ,95823,Sacramento,-121.44690449999999,38.506887299999995,2504.03,94.97,45.11,5.56,58.97,94.73,91.1,78.4,97.79
735,6037209102,5267,Los Angeles,90017,Los Angeles,-118.2675212,34.0551862,1052.29,69.88,56.99,7.02,86.89,61.92,71.04,85.1,99.33
736,6037124201,3506,Los Angeles,91606,North Hollywood,-118.3746763,34.1848664,1064.59,70.4,58.32,7.18,89.01,58.36,67.09,26.0,37.81
737,6037301702,5556,Los Angeles,91203,Glendale,-118.26915929999998,34.1511527,2109.68,91.98,73.8,9.09,99.46,34.66,32.81,48.8,71.88
738,6037191201,4591,Los Angeles,90027,Los Angeles,-118.29617350000001,34.0985767,1160.21,73.97,53.06,6.54,79.8,51.93,58.95,49.6,72.68
739,6037199800,5631,Los Angeles,90031,Los Angeles,-118.2103403,34.070656299999996,1698.67,86.74,63.83,7.86,95.25,45.01,49.38,63.7,87.78
740,6037240010,3673,Los Angeles,90002,Los Angeles,-118.26378319999999,33.958315899999995,1055.97,70.05,50.39,6.21,73.69,60.63,69.77,69.2,92.46
741,6025011500,6232,Imperial ,92243,El Centro,-115.56129299999999,32.7984899,645.72,45.86,49.89,6.14,72.35,111.93,95.2,70.1,93.01
742,6037533804,4543,Los Angeles,90201,Bell,-118.17914440000001,33.975218100000006,1368.5,79.96,53.94,6.64,81.63,48.15,53.9,54.7,78.74
743,6037543903,3804,Los Angeles,90745,Carson,-118.2576884,33.8296613,2135.4,92.13,65.79,8.1,96.74,60.31,69.53,28.3,41.97
744,6037433306,3333,Los Angeles,91732,El Monte,-118.0077568,34.071506799999995,1787.1,88.23,56.84,7.0,86.63,67.93,76.87,63.8,87.94
745,6037602103,6992,Los Angeles,90250,Hawthorne,-118.3567382,33.9283066,1758.15,87.76,53.36,6.57,80.49,66.69,75.79,51.1,74.48
746,6071000201,4195,San Bernardino,91763,Montclair,-117.69583759999999,34.0892501,3080.73,97.64,59.43,7.32,90.75,67.25,76.24,35.3,52.96
747,6037197700,5103,Los Angeles,90012,Los Angeles,-118.2457754,34.0685435,1739.97,87.45,71.19,8.77,99.03,26.36,18.6,58.3,82.58
748,6037553902,5809,Los Angeles,90723,Paramount,-118.15308300000001,33.885141600000004,537.86,34.69,55.19,6.8,84.02,53.36,60.67,52.3,76.02
749,6037310703,5114,Los Angeles,91502,Burbank,-118.3002133,34.1758933,1711.15,86.95,74.9,9.23,99.69,32.34,29.31,45.8,68.02
750,6037240020,5055,Los Angeles,90002,Los Angeles,-118.2638081,33.95424439999999,774.23,55.26,47.45,5.84,65.26,78.26,83.62,66.3,90.16
751,6037502700,6956,Los Angeles,90670,Santa Fe Springs,-118.07163659999999,33.9548068,1463.93,82.07,72.9,8.98,99.35,54.53,62.35,31.8,47.68
752,6019002903,4329,Fresno ,93727,Fresno,-119.72730859999999,36.7395376,533.45,34.18,48.17,5.93,67.37,63.2,72.57,80.6,98.54
753,6037219020,4798,Los Angeles,90018,Los Angeles,-118.3226729,34.022208299999996,1117.52,72.44,52.4,6.45,78.18,93.35,90.56,51.8,75.42
754,6065041704,3908,Riverside ,92882,Corona,-117.5781628,33.877010600000006,1789.96,88.29,60.4,7.44,92.21,35.15,33.79,69.1,92.39
755,6037125320,4843,Los Angeles,91601,North Hollywood,-118.37019440000002,34.1666765,898.76,62.56,56.36,6.94,85.75,57.11,65.65,51.4,74.85
756,6037602104,5416,Los Angeles,90250,Hawthorne,-118.34838549999999,33.9278066,2036.88,91.28,56.91,7.01,86.72,63.56,73.13,54.3,78.3
757,6019003003,4154,Fresno ,93727,Fresno,-119.70915349999999,36.7395013,467.89,27.57,46.52,5.73,62.83,75.44,82.37,77.2,97.44
758,6067006400,5347,Sacramento ,95838,Sacramento,-121.42023799999998,38.641645399999994,1092.47,71.4,45.96,5.66,61.18,110.75,94.81,64.4,88.59
759,6075023103,3725,San Francisco,94124,San Francisco,-122.37596529999999,37.7356318,270.12,9.85,50.19,6.18,73.23,135.72,97.97,84.6,99.26
760,6037540102,6972,Los Angeles,90262,Lynwood,-118.19418470000001,33.923195299999996,2548.35,95.3,56.74,6.99,86.51,56.52,64.71,55.2,79.23
761,6037573202,6230,Los Angeles,90806,Long Beach,-118.18501909999999,33.7934864,898.05,62.53,49.16,6.05,70.24,88.45,88.9,63.1,87.25
762,6037575201,4667,Los Angeles,90813,Long Beach,-118.1767949,33.7864873,1185.08,74.83,45.36,5.59,59.59,130.75,97.64,63.3,87.43
763,6037554301,3554,Los Angeles,90706,Bellflower,-118.1456075,33.8822564,2023.75,91.15,52.33,6.45,78.06,65.24,74.49,48.7,71.68
764,6037231900,5968,Los Angeles,90037,Los Angeles,-118.2773419,33.9997716,4034.52,99.46,56.71,6.98,86.43,51.15,57.71,73.3,95.19
765,6037532604,2806,Los Angeles,90255,Huntington Park,-118.22899939999999,33.9842406,1015.74,68.48,58.47,7.2,89.3,52.73,59.92,65.2,89.25
766,6037127920,4100,Los Angeles,91405,Van Nuys,-118.43562250000001,34.1975655,1420.15,81.21,53.59,6.6,80.88,76.58,82.87,42.6,63.33
767,6037553504,5368,Los Angeles,90723,Paramount,-118.15545790000002,33.9067419,1336.16,79.13,55.12,6.79,83.88,51.34,57.99,54.3,78.3
768,6037533201,2805,Los Angeles,90255,Huntington Park,-118.2081561,33.9819143,995.91,67.46,57.63,7.1,87.9,47.34,52.95,73.8,95.55
769,6001409500,3122,Alameda ,94621,Oakland,-122.1837659,37.7504463,346.51,16.07,44.37,5.46,57.01,161.73,99.06,64.2,88.41
770,6071000825,3905,San Bernardino,91786,Upland,-117.6755256,34.091697499999995,2499.76,94.91,56.38,6.94,85.77,81.29,85.87,56.2,80.41
771,6019006501,6662,Fresno ,93654,Reedley,-119.3447256,36.608683,118.73,1.88,48.65,5.99,68.82,71.44,79.58,72.1,94.38
772,6073003603,4228,San Diego,92113,San Diego,-117.10759240000002,32.6866623,1564.45,84.3,54.12,6.67,82.04,107.07,94.07,61.5,85.72
773,6037127103,2939,Los Angeles,91405,Van Nuys,-118.4301703,34.2043745,1504.48,82.99,59.3,7.3,90.52,60.87,69.94,62.7,86.9
774,6071006301,5324,San Bernardino,92404,San Bernardino,-117.26824669999999,34.1303051,849.49,59.89,51.61,6.36,76.42,119.48,96.33,68.7,92.14
775,6037502200,6585,Los Angeles,90606,Whittier,-118.07294479999999,33.9775294,2096.59,91.9,58.53,7.21,89.4,69.12,78.02,33.8,50.47
776,6037120030,2675,Los Angeles,91402,Panorama City,-118.451843,34.21524470000001,1318.46,78.69,53.49,6.59,80.67,95.94,91.61,79.2,98.06
777,6019001600,5099,Fresno ,93625,Fowler,-119.64862620000001,36.6433218,134.68,2.59,57.16,7.04,87.12,78.81,84.13,55.7,79.81
778,6071001310,5814,San Bernardino,91764,Ontario,-117.6368989,34.0780739,3730.6,99.14,55.79,6.87,84.94,79.43,84.75,50.5,73.76
779,6037240402,3854,Los Angeles,90044,Los Angeles,-118.28547879999999,33.9446893,3192.08,97.89,50.5,6.22,73.93,84.91,87.28,65.9,89.89
780,6019007004,5520,Fresno ,93662,Selma,-119.5900857,36.577054499999996,142.84,2.97,61.68,7.6,93.43,101.48,93.02,37.3,55.73
781,6037224600,3425,Los Angeles,90007,Los Angeles,-118.2718023,34.0222989,2740.39,96.27,57.68,7.1,88.0,46.24,51.32,75.4,96.48
782,6037575902,4762,Los Angeles,90802,Long Beach,-118.19520120000001,33.7723157,461.27,26.85,54.57,6.72,82.92,79.81,85.05,58.3,82.58
783,6071009500,7094,San Bernardino,92311,Barstow,-117.02646010000001,34.8906325,765.26,54.67,53.82,6.63,81.41,220.9,99.95,66.4,90.23
784,6065048800,4512,Riverside ,92551,Moreno Valley,-117.22238300000001,33.870776,421.92,23.1,52.79,6.5,79.17,70.4,79.01,51.7,75.31
785,6071007603,4605,San Bernardino,92346,Highland,-117.2199119,34.115143100000004,438.17,24.66,51.61,6.36,76.39,65.8,74.89,59.2,83.58
786,6037191120,4135,Los Angeles,90029,Los Angeles,-118.304794,34.0929287,2598.65,95.64,58.09,7.16,88.67,41.77,44.79,68.6,92.07
787,6113010102,7702,Yolo ,95837,Sacramento,-121.6242082,38.7208477,330.32,14.65,56.05,6.9,85.29,72.99,80.55,56.1,80.28
788,6065031601,4390,Riverside ,92503,Riverside,-117.44864209999999,33.915428799999994,1769.12,87.94,57.43,7.07,87.58,59.41,68.41,45.5,67.66
789,6037125310,4750,Los Angeles,91601,North Hollywood,-118.366031,34.1695168,903.25,62.74,59.77,7.36,91.19,49.9,55.94,48.3,71.3
790,6107004102,2028,Tulare ,93257,Porterville,-119.02452029999999,36.0455672,312.82,13.23,55.12,6.79,83.9,58.17,66.75,66.4,90.23
791,6047000505,6156,Merced ,95301,Atwater,-120.6497408,37.3574463,489.34,29.63,54.61,6.73,83.01,62.78,72.25,56.9,81.22
792,6037542103,4114,Los Angeles,90221,Compton,-118.19649299999999,33.901221899999996,699.0,49.91,46.33,5.71,62.2,87.61,88.46,66.7,90.57
793,6037240300,5691,Los Angeles,90044,Los Angeles,-118.28612290000001,33.9564095,3671.22,98.98,48.57,5.98,68.56,77.14,83.17,59.1,83.46
794,6071000203,4474,San Bernardino,91763,Montclair,-117.7025669,34.078049,2883.28,96.94,54.85,6.76,83.41,74.93,81.87,42.0,62.54
795,6037218120,4530,Los Angeles,90019,Los Angeles,-118.32067590000001,34.0435631,1110.03,72.19,48.5,5.97,68.36,64.65,74.09,65.4,89.42
796,6037220000,5345,Los Angeles,90016,Los Angeles,-118.34019280000001,34.027840600000005,1660.59,86.19,53.03,6.53,79.71,94.53,91.07,51.5,75.02
797,6037482402,6971,Los Angeles,91770,Rosemead,-118.08008829999999,34.04891679999999,1101.24,71.71,65.28,8.04,96.39,37.5,37.71,42.7,63.56
798,6037104810,5328,Los Angeles,91331,Pacoima,-118.4111792,34.250299600000005,650.64,46.31,62.52,7.7,94.3,73.79,81.27,43.0,64.1
799,6077000500,2749,San Joaquin,95205,Stockton,-121.27683859999999,37.962605700000005,543.61,35.51,45.1,5.55,58.94,94.19,91.01,67.3,91.01
800,6037201501,5306,Los Angeles,90032,Los Angeles,-118.1646555,34.0865636,712.6,51.06,52.17,6.43,77.59,63.89,73.39,55.0,78.94
801,6065040501,6878,Riverside ,92509,Riverside,-117.47734969999999,34.0075778,750.75,53.74,59.37,7.31,90.68,55.89,64.08,50.4,73.63
802,6067007413,5932,Sacramento ,95821,Sacramento,-121.39330990000002,38.6420403,1989.3,90.86,59.98,7.39,91.55,102.89,93.28,53.8,77.66
803,6099002504,4422,Stanislaus ,95307,Ceres,-120.9697851,37.59211810000001,1457.15,81.94,61.79,7.61,93.57,45.24,49.89,48.3,71.3
804,6019003202,5265,Fresno ,93703,Fresno,-119.7431686,36.7687041,684.39,48.82,49.2,6.06,70.38,94.11,90.94,64.3,88.49
805,6071007305,4060,San Bernardino,92354,Loma Linda,-117.2531226,34.0583656,889.51,62.1,59.77,7.36,91.18,47.92,53.52,67.7,91.41
806,6037224200,2392,Los Angeles,90015,Los Angeles,-118.27671570000001,34.040623100000005,4017.01,99.44,53.62,6.6,80.97,78.84,84.17,79.2,98.06
807,6037228320,3219,Los Angeles,90011,Los Angeles,-118.2636361,34.007821899999996,853.4,60.28,51.42,6.33,75.94,63.52,73.07,81.2,98.72
808,6107000900,8171,Tulare ,93291,Visalia,-119.3858168,36.3926684,462.34,26.98,64.74,7.97,95.94,41.3,44.23,66.0,89.96
809,6037573002,3990,Los Angeles,90806,Long Beach,-118.19154440000001,33.793484,768.58,54.86,45.97,5.66,61.21,88.36,88.78,74.9,96.13
810,6037294610,4065,Los Angeles,90744,Wilmington,-118.2581968,33.787324,1073.7,70.66,57.24,7.05,87.21,70.22,78.81,59.8,84.19
811,6037311802,3813,Los Angeles,91502,Burbank,-118.31128740000001,34.1710001,2068.8,91.64,74.65,9.2,99.64,38.27,39.05,38.4,57.36
812,6067001101,2047,Sacramento ,95814,Sacramento,-121.4904629,38.577207200000004,402.66,21.21,56.68,6.98,86.32,80.24,85.31,51.3,74.72
813,6075980600,467,San Francisco,94124,San Francisco,-122.36854240000001,37.7231655,282.24,10.7,48.54,5.98,68.49,135.72,97.97,52.4,76.15
814,6029004102,5451,Kern ,93263,Shafter,-119.2738672,35.49618579999999,257.82,9.07,53.72,6.62,81.17,46.78,52.11,78.8,97.9
815,6037402904,3603,Los Angeles,91766,Pomona,-117.7362111,34.026069299999996,1735.32,87.35,56.99,7.02,86.88,70.2,78.61,41.6,61.94
816,6039000201,9049,Madera ,93610,Chowchilla,-120.14313130000001,37.0986965,473.73,28.17,52.29,6.44,77.95,55.85,63.96,49.7,72.82
817,6037128400,4114,Los Angeles,91411,Van Nuys,-118.45885220000001,34.1765494,2326.35,93.7,63.84,7.86,95.28,63.48,72.86,27.3,40.21
818,6073004000,5160,San Diego,92102,San Diego,-117.127118,32.708779,700.83,50.11,49.18,6.06,70.29,92.26,90.13,74.3,95.84
819,6059001304,3803,Orange ,90631,La Habra,-117.94554099999999,33.9244375,877.7,61.5,58.0,7.14,88.49,53.99,61.61,51.2,74.63
820,6037531701,5718,Los Angeles,90022,Los Angeles,-118.15208510000001,34.021688700000006,1108.16,72.1,49.38,6.08,70.86,62.41,71.81,57.8,82.04
821,6037542105,5200,Los Angeles,90221,Compton,-118.19906499999999,33.8932111,694.46,49.63,47.76,5.88,66.14,87.61,88.46,70.5,93.35
822,6037408501,3314,Los Angeles,91745,Hacienda Heights,-117.96791680000001,34.0114015,2289.23,93.37,68.2,8.4,98.03,46.47,51.64,41.5,61.77
823,6019003701,3314,Fresno ,93705,Fresno,-119.8255712,36.768665399999996,476.94,28.44,47.81,5.89,66.32,112.79,95.35,69.7,92.76
824,6077005109,4016,San Joaquin,95336,Manteca,-121.21070700000001,37.798966,499.41,30.64,52.45,6.46,78.33,111.61,94.99,56.9,81.22
825,6037600303,3664,Los Angeles,90044,Los Angeles,-118.2983324,33.9355949,693.4,49.5,46.42,5.72,62.51,115.42,95.75,54.4,78.4
826,6037210010,3520,Los Angeles,90015,Los Angeles,-118.27231210000001,34.046851000000004,3175.88,97.84,56.62,6.97,86.2,75.45,82.38,70.1,93.01
827,6037232800,3823,Los Angeles,90037,Los Angeles,-118.2771882,33.9923979,4155.88,99.59,57.43,7.07,87.59,43.34,46.78,81.5,98.76
828,6037601501,3890,Los Angeles,90304,Inglewood,-118.36334620000001,33.94365139999999,2460.31,94.66,54.45,6.71,82.63,65.34,74.54,71.3,93.89
829,6037122120,5000,Los Angeles,91352,Sun Valley,-118.3719094,34.210775700000006,1210.81,75.61,59.91,7.38,91.41,77.04,83.12,48.3,71.3
830,6085512602,2997,Santa Clara,95020,Gilroy,-121.5244284,37.018124,550.78,36.33,55.38,6.82,84.33,64.77,74.19,36.4,54.42
831,6019001411,5276,Fresno ,93727,Fresno,-119.69117379999999,36.7433669,395.25,20.6,52.32,6.44,78.03,75.44,82.37,50.0,73.19
832,6099002503,4368,Stanislaus ,95307,Ceres,-120.9580147,37.584981,1424.85,81.33,56.65,6.98,86.26,45.24,49.89,64.3,88.49
833,6037192610,4389,Los Angeles,90004,Los Angeles,-118.29615390000001,34.081365000000005,3341.84,98.32,58.08,7.15,88.64,52.2,59.24,68.9,92.26
834,6037433401,3371,Los Angeles,91733,South El Monte,-118.04261229999999,34.0596017,769.37,54.92,59.18,7.29,90.39,54.75,62.69,52.7,76.42
835,6037600304,3424,Los Angeles,90044,Los Angeles,-118.2940128,33.9353608,759.37,54.28,43.51,5.36,54.44,115.42,95.75,75.3,96.39
836,6065042300,6782,Riverside ,92507,Riverside,-117.3222236,34.0130557,1135.86,73.12,63.65,7.84,95.11,62.21,71.35,48.3,71.3
837,6037601402,5059,Los Angeles,90301,Inglewood,-118.3657334,33.950944299999996,3193.46,97.91,58.14,7.16,88.74,92.06,90.04,41.5,61.77
838,6037575102,4510,Los Angeles,90804,Long Beach,-118.1621912,33.7844124,1015.11,68.39,46.64,5.74,63.19,86.52,87.93,70.6,93.48
839,6065042510,5048,Riverside ,92553,Moreno Valley,-117.2393048,33.910051700000004,648.62,46.13,49.15,6.05,70.19,64.7,74.16,65.2,89.25
840,6111002905,5478,Ventura ,93030,Oxnard,-119.23198570000001,34.2098935,570.89,38.49,62.11,7.65,93.88,97.99,92.22,23.6,33.75
841,6037191500,5551,Los Angeles,90029,Los Angeles,-118.29603700000001,34.087260799999996,2225.32,92.91,53.75,6.62,81.22,66.96,76.08,61.1,85.41
842,6099000301,1987,Stanislaus ,95367,Riverbank,-120.9332632,37.7365093,482.57,29.01,65.43,8.06,96.47,53.4,60.75,65.1,89.13
843,6047002302,13709,Merced ,93635,Los Banos,-120.80121729999999,37.0786355,369.45,18.17,51.84,6.39,76.89,115.94,95.85,56.6,80.87
844,6037123103,4165,Los Angeles,91606,North Hollywood,-118.365403,34.192132,983.7,66.93,63.63,7.84,95.1,42.38,45.61,62.6,86.79
845,6037405201,5205,Los Angeles,91706,Baldwin Park,-117.95136570000001,34.083912100000006,460.09,26.72,58.88,7.25,89.96,46.91,52.46,53.0,76.87
846,6037232200,3119,Los Angeles,90037,Los Angeles,-118.29787350000001,34.0017243,995.95,67.48,47.53,5.85,65.44,81.44,85.96,66.6,90.47
847,6107004300,7682,Tulare ,93219,Earlimart,-119.3058575,35.85805429999999,254.67,8.81,52.44,6.46,78.28,49.37,55.3,75.6,96.59
848,6037408630,2319,Los Angeles,91745,Hacienda Heights,-117.95618870000001,34.006504,2739.52,96.25,62.07,7.65,93.8,46.47,51.64,49.1,72.13
849,6067000600,1122,Sacramento ,95814,Sacramento,-121.4916773,38.585481099999996,400.29,21.01,54.32,6.69,82.39,110.76,94.84,62.5,86.66
850,6065040502,6202,Riverside ,92509,Riverside,-117.48827820000001,34.0225503,1567.75,84.35,63.86,7.87,95.31,36.05,35.39,52.9,76.72
851,6037123510,4753,Los Angeles,91405,Van Nuys,-118.42907140000001,34.1953384,1315.05,78.54,57.14,7.04,87.06,44.2,48.02,49.4,72.47
