GEOID,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
6029000507,16.43835616,923,2.057077626,0.311641755,76533,2.58
6039000508,23.88920946,1081,2.281592614,0.064357836,44508,4
6039000509,12.36842105,1541,2.551578947,0.093572444,78765,3.13
6099000510,30.17751479,1145,2.166074951,1.412354355,67468,3.47
6033000600,36.31221719,895,1.701923077,0.024090324,30507,2.15
6107000600,58.08538163,721,1.741267788,0.107908746,33239,4.27
6093000600,28.41823056,777,2.211796247,0.005498945,47604,2.51
6019000600,88.64008738,628,0.801201529,3.006639349,16802,2.7
6053000600,65.79849212,1123,1.993831391,5.472884915,43004,4.9
6023000600,34.16458853,1006,1.572069825,2.441936649,48208,2.19
6077000600,83.42541436,848,1.484346225,2.283685235,27799,3.48
6111000600,77.59958614,1072,1.49508536,4.087210393,29698,3.35
6073000600,73.05699482,1233,1.381116868,7.539993754,56566,1.67
6029000600,79.2218211,736,1.079422383,2.327074407,21912,2.57
6069000600,37.18553459,1397,2.320754717,2.639206843,86087,3.2
6067000600,95.35655058,812,0.993366501,6.00594671,22106,1.93
6103000600,42.02294056,723,1.633993743,0.594391029,36846,2.63
6083000600,44.67697907,1938,1.824840764,2.238039239,84219,2.26
6057000600,61.25740619,914,1.474325214,0.831169418,31317,2.15
6031000601,32.92597765,1386,2.078561453,1.483784695,85399,3.54
6099000601,23.21178121,1302,2.424263675,0.644458857,71000,3.36
6007000601,36.4844904,1297,1.914327917,3.030693852,61818,2.48
6047000601,55.00889152,797,1.831061055,1.644782353,41694,2.93
6031000602,44.49074074,1108,1.982407407,3.32386887,70310,2.34
6099000602,34.85193622,1317,2.140091116,0.907344909,65357,3.17
6039000602,52.94117647,799,1.28627451,3.641717975,27822,3.4
6047000602,60.73059361,1047,1.942465753,3.364754684,37067,3.74
6047000603,38.90836254,634,1.854281422,1.945812232,41648,2.98
6039000603,64.33076384,854,1.599859846,4.781268136,35266,4.14
6071000603,49.23891463,1360,2.210456651,2.713918952,58460,3.32
6007000603,78.1573499,995,1.700828157,3.528329695,25809,2.54
6039000604,72.88135593,1023,1.510088781,2.839964752,32402,4.7
6007000604,90.98412698,863,1.50031746,6.267702765,16971,2.81
6071000604,45.39839407,1192,2.089561458,2.889787479,60344,3.51
6071000605,59.65217391,1164,2.206086957,3.637603777,46792,4.03
6071000606,36.92307692,1378,2.277884615,4.337679023,72386,3.85
6019000700,56.19982159,881,1.565566459,0.547809022,21979,3.22
6077000700,62.29508197,827,1.381967213,2.761742425,22134,3.29
6023000700,37.80053428,974,1.891362422,1.460392487,57857,2.26
6073000700,70.16645327,1366,1.536491677,12.15556067,73945,1.92
6007000700,56.51577503,970,1.51303155,2.812144699,43697,2.14
6029000700,43.46349745,1229,1.920203735,2.63800031,52520,3.02
6039000700,43.0875576,1095,1.825140809,1.885506712,58562,3.11
6067000700,99.23371648,501,,4.481271269,12171,1.17
6103000700,53.56037152,774,1.519091847,0.868157263,30703,2.71
6083000700,32.91323316,1855,2.20891905,0.368378926,119514,2.82
6031000701,32.61163735,1226,2.132160577,2.643991064,76088,2.83
6069000701,45.92521572,1252,2.261744966,2.529781845,60542,4.13
6057000701,16.50453956,1545,2.397211414,0.055664668,58224,2.37
6107000701,38.76765083,734,1.96534018,0.078447038,40307,3.29
6111000701,48.73859367,1181,1.887278583,5.269039411,40280,3.59
6047000701,67.81725888,760,1.482233503,2.069286514,31530,3.23
6093000701,26.81874229,925,2.223181258,0.00917893,56042,2.25
6053000701,75.30662306,1049,1.720359771,7.889350521,35097,4.88
6033000701,45.42635659,790,1.57881137,0.278227221,26109,2.23
6031000702,35.96491228,1113,1.736215539,1.531516926,55333,2.71
6069000702,50.66505441,1236,2.235792019,0.520480496,77361,3
6111000702,27.24324324,1653,2.274594595,4.736958087,70163,3.76
6047000702,13.23003576,959,2.615017878,0.304903834,96422,3.11
6093000702,56.09756098,777,1.480338477,0.227102837,24723,2.14
6053000702,88.67313916,1001,1.534789644,10.30124136,38247,4.96
6033000702,34.78818999,926,1.60012837,0.051949307,26588,2.47
6107000702,40.75,628,1.855625,2.612631079,32879,3.62
6057000702,11.72115978,1473,2.27637261,0.133455432,65046,2.44
6093000703,37.13261649,806,1.695340502,1.121503192,43125,2.34
6031000800,46.57534247,638,1.721461187,0.592398717,36838,2.91
6107000800,45.20303436,784,2.005354752,0.059427239,34164,3.21
6019000800,63.69426752,590,1.668789809,0.165482834,24167,3.8
6023000800,48.44571975,1181,1.862745098,0.543220234,61328,2.56
6093000800,28.19260293,868,2.237962317,0.001809961,45193,2.34
6111000800,34.76245655,1167,2.179606025,0.108947712,74517,3.07
6039000800,73.66143862,770,1.345592212,2.656248396,28171,3.52
6073000800,75.82551977,1103,1.283326539,15.65145996,60635,1.73
6027000800,41.66666667,653,1.764264264,0.000304515,36000,2.08
6029000800,38.61449647,1134,1.856959589,2.706860707,55547,3.35
6007000800,34.0387213,1173,1.770823953,2.301121003,61964,2.52
6067000800,89.34802571,1217,0.986225895,8.38248621,60571,1.39
6103000800,34.59854015,749,2.168613139,0.042349727,40882,2.93
6053000800,51.03270224,1160,2.264199656,4.590183133,43322,4.83
6069000801,19.03225806,1845,2.361290323,0.579098232,112717,2.59
6099000801,37.98208025,967,1.686404363,3.093493151,56440,2.42
6047000801,62.48462485,1041,2.001845018,1.921860533,51346,3.43
6033000801,60.25848142,693,1.357835218,1.783762397,23657,2.32
6077000801,50.97806758,1147,2.221695317,0.767592221,46875,4.43
6083000801,60.08733624,1627,1.819213974,4.871903586,66411,3.37
6057000801,20.50092764,1333,2.485621521,0.055957857,73782,2.35
6069000802,32.6419214,1183,2.675764192,0.00124075,71200,2.95
6047000802,24.36260623,1104,1.881728045,2.489896302,59176,2.95
6033000802,59.53516091,794,1.358164482,2.087984011,24110,2.36
6057000802,28.66130724,1141,1.882558546,0.398135621,52413,2.16
6099000803,59.82792852,968,1.517538054,2.996201342,34172,2.92
6071000804,19.00756939,1201,2.423885618,0.776444371,88125,2.59
6083000804,71.89105858,1747,1.794964029,2.816928753,51711,3.54
6099000805,46.71147384,1155,1.864138262,4.190340075,46140,3.23
6099000806,40,1121,2.011949686,4.554871176,56969,2.67
6099000807,71.79323548,923,1.488194001,4.820693128,40138,2.19
6071000808,27.75024777,1241,2.060455897,3.197026991,66406,3.19
6071000812,20.77104642,1794,2.02281668,1.838545414,75813,2.72
6071000813,13.30128205,2333,2.258012821,1.867625293,90208,2.89
6071000814,10.42442293,2853,2.753536858,1.960170234,115444,2.96
6071000815,13.47792409,1804,2.296669249,2.098199394,108456,2.64
6071000816,6.84544813,2183,2.401552576,2.242828911,107031,3
6071000817,20.80882353,1537,2.018382353,1.392891765,73944,2.69
6071000818,27.08224201,1248,2.163960189,2.706781699,71975,2.87
6071000819,27.35898788,2287,1.894570374,2.323674028,93403,2.59
6071000820,7.320644217,1988,2.451683748,1.231341572,106538,2.86
6071000821,96.18272841,1550,1.619524406,2.582470816,51774,2.36
6071000823,70.66269546,1201,1.396872673,5.725355208,40857,2.48
