,id,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty,pct_renter_occupied_hu,median_gross_rent,autos_per_hh,gross_hh_density,median_hh_income,avg_hh_size
2322,2358,6067006701,8370,Sacramento ,95838,Sacramento,-121.460413,38.6484319,1354.48,4.77,106.76,50.7,53.1433034,1015,1.736821554,3.150299298,45722,3.28
2323,2359,6069000300,4217,San Benito,95023,Hollister,-121.4226918,36.8617345,491.14,4.61,59.85,33.8,26.87140115,1314,2.460652591,0.645974173,59074,4.23
2324,2360,6037275603,2711,Los Angeles,90230,Culver City,-118.4066251,33.9864759,1781.42,7.79,34.65,23.4,38.92165122,1393,1.852569503,4.803842162,71685,2.35
2325,2361,6065040809,3353,Riverside ,92879,Corona,-117.5555915,33.8928291,1217.18,7.28,29.46,31.7,13.77410468,1587,2.103764922,1.928694195,66589,3.28
2326,2362,6001423200,2794,Alameda ,94710,Berkeley,-122.2936857,37.8645164,517.07,5.54,81.88,42.3,68.14159292,1375,1.369911504,10.01132895,49375,2.58
2327,2363,6019007801,2722,Fresno ,93234,Huron,-120.0943201,36.1460009,377.71,5.96,60.63,75.2,42.83413849,623,1.959742351,0.008571548,44464,4.51
2328,2364,6057000501,6034,Nevada ,95945,Grass Valley,-121.0671814,39.2334936,466.53,5.44,75.03,47.2,53.72968981,1029,1.42282127,1.014184559,40485,2.1
2329,2365,6071002037,7739,San Bernardino,92336,Fontana,-117.5015528,34.1223865,1315.86,6.28,34.04,15.5,15.04922644,2244,2.567276137,1.872227259,99226,3.68
2330,2366,6065045609,5880,Riverside ,92274,Thermal,-116.1520684,33.6448,225.37,6,34.42,64.3,41.52661064,644,2.098739496,0.063466394,29548,3.85
2331,2367,6037207101,3047,Los Angeles,90012,Los Angeles,-118.2448177,34.0612027,2153.11,8.37,29.02,57.4,96.07487923,1560,1.144323671,22.32513802,36272,2.19
2332,2368,6037402705,3328,Los Angeles,91767,Pomona,-117.7311684,34.071705,330.66,5.74,83.41,41.2,14.78873239,1676,2.57629108,3.983707809,65833,4.17
2333,2369,6071003405,5109,San Bernardino,92335,Fontana,-117.4055556,34.0975427,513.87,5.12,46.01,51.1,72.82608696,1068,1.721467391,6.376068051,43929,3.48
2334,2370,6097153002,6827,Sonoma ,95401,Santa Rosa,-122.7327641,38.4410975,1194.19,4.99,68.17,53.5,56.87401986,1406,2.087820178,3.449423586,54985,3.33
2335,2371,6019004100,3306,Fresno ,93723,Fresno,-119.9948664,36.795996,141.06,6.1,36.11,54.7,28.48699764,796,2.241134752,0.043863026,59375,3.33
2336,2372,6001436900,6724,Alameda ,94541,Hayward,-122.1097202,37.6603503,1891.62,4.63,108.47,47.3,57.34304933,1334,2.099775785,5.980988195,58567,3.64
2337,2373,6037104124,4175,Los Angeles,91342,Sylmar,-118.373946,34.2902413,1052.43,6.26,64.44,33.5,16.60140955,1490,2.021143305,1.153602445,80813,3.23
2338,2374,6037201301,3442,Los Angeles,90032,Los Angeles,-118.1878082,34.0882239,578.39,4.84,64.32,58.8,53.762466,966,1.672710789,5.153316668,42878,3.31
2339,2375,6037502801,6186,Los Angeles,90670,Santa Fe Springs,-118.0891681,33.9409904,2714.43,7.86,51.23,27.5,20.15721505,1843,2.417181359,3.241262448,81385,3.83
2340,2376,6053010504,4732,Monterey ,93907,Salinas,-121.6959506,36.7324097,640.48,4.71,73.47,49.9,60.43417367,1369,1.859943978,0.192637283,48993,3.46
2341,2377,6037128910,4083,Los Angeles,91403,Sherman Oaks,-118.4585185,34.1616765,3525.27,6.53,34.51,18.8,53.12327253,1539,1.757324489,5.639868239,74276,2.36
2342,2378,6037401704,5828,Los Angeles,91767,Pomona,-117.7430957,34.1006379,490.37,6.42,62.3,39.8,51.22863248,1243,1.886752137,4.181840969,52240,3.16
2343,2379,6071010026,10495,San Bernardino,92395,Victorville,-117.2949039,34.485449,884.85,4.57,101.85,60.7,53.42717258,1030,1.683292534,1.277782494,42722,3.22
2344,2380,6037551202,7666,Los Angeles,90242,Downey,-118.1381271,33.924571,658.35,6.48,54.8,33.1,53.74470089,1406,2.070183702,6.132100261,70429,3.55
2345,2381,6099000506,4295,Stanislaus ,95356,Modesto,-121.0036408,37.7001655,699.91,7.19,44.83,41.3,41.23943662,1024,1.747605634,1.844027698,55426,2.5
2346,2382,6037113401,5543,Los Angeles,91306,Winnetka,-118.5626938,34.2272273,1209.16,6.56,47.69,23.8,28.88390353,1346,2.054963545,2.942942373,72083,3.12
2347,2383,6047002301,6680,Merced ,93635,Los Banos,-120.8635711,37.0495952,450.63,5.94,115.94,33,26.21184919,1335,2.083931777,1.115679688,53871,3.1
2348,2384,6037401603,2913,Los Angeles,91750,La Verne,-117.7806216,34.1095896,948.38,6.59,37.12,26,28.09257781,1823,1.54509178,2.729388997,55718,2.08
2349,2385,6107002204,6126,Tulare ,93274,Tulare,-119.3587288,36.2183676,280.61,4.53,78.57,73.6,49.06937394,844,1.778341794,3.113398129,38641,3.6
2350,2386,6037535802,6814,Los Angeles,90280,South Gate,-118.2075235,33.9408573,831.07,5.18,45.49,56,52.38685679,1015,1.939863608,8.197976357,45710,4.07
2351,2387,6037408211,5947,Los Angeles,91748,Rowland Heights,-117.9080818,33.9988356,1771.42,7.89,31.78,50.4,54.67667436,1404,2.00404157,0.902979032,42430,3.22
2352,2388,6037603301,3828,Los Angeles,90247,Gardena,-118.3062127,33.8840986,1028.05,6.08,72.59,35.2,70.55374593,1291,1.594136808,6.372855164,36094,2.23
2353,2389,6037555103,4727,Los Angeles,90715,Lakewood,-118.0652797,33.8445898,436.75,5.49,83.12,29.9,47.09587124,1721,2.120363891,6.040976877,74232,3.37
2354,2390,6037552001,4105,Los Angeles,90650,Norwalk,-118.0951779,33.9123664,487.6,5.44,62.88,39.6,21.63509472,1459,2.274177468,5.056139745,73345,4
2355,2391,6115040500,4111,Yuba ,95961,Olivehurst,-121.5535692,39.1003669,514.84,4.82,44.56,62.9,61.32461161,848,1.577269011,1.990957403,31217,3.12
2356,2392,6037480902,4218,Los Angeles,91803,Alhambra,-118.1390208,34.0802793,972.89,7.22,33.26,47.4,79.71872687,1161,1.610658771,10.4931952,42101,2.97
2357,2393,6065043309,2890,Riverside ,92544,Hemet,-116.9504264,33.751115,800.69,4.9,51.53,65.6,72.60273973,921,1.412012645,3.156502724,35958,3.08
2358,2394,6001400700,4206,Alameda ,94608,Emeryville,-122.2723135,37.8417578,646.61,5.27,141.49,50.5,63.9619474,1197,1.166200336,8.215071181,46424,2.54
2359,2395,6037430002,7021,Los Angeles,91010,Duarte,-117.9554107,34.1393519,1882.4,5.73,56.8,36,42.50726443,1718,1.816521378,4.543324083,62016,2.9
2360,2396,6071007302,10039,San Bernardino,92373,Redlands,-117.2307072,34.0226242,422.19,7.24,47.66,17.1,40.18771331,1410,2.063424346,0.481530136,79316,2.65
