,census_tract,total_population,county,zip,nearby_city,longitude,latitude,traffic,pollution_score,asthma,poverty
6663,6113011203,2561,Yolo ,95695,Woodland,-121.7934889,38.659519,357.92,2.61,56.23,5.6
6664,6071000813,3449,San Bernardino,91784,Upland,-117.6779015,34.1406476,1565.13,4.96,32.1,15.5
6665,6013355111,6343,Contra Costa,94531,Antioch,-121.7753475,37.978244,508.02,2.05,112.95,20.7
6666,6097152906,5234,Sonoma ,95401,Santa Rosa,-122.7983695,38.472322,442.58,4.16,38.63,19.1
6667,6089011703,3282,Shasta ,96019,Shasta Lake,-122.3698759,40.6925227,310.35,1.66,66.28,46.4
6668,6013388000,2576,Contra Costa,94530,El Cerrito,-122.3022455,37.9089588,310.03,4,40.54,24.3
6669,6085506606,4453,Santa Clara,95008,Campbell,-121.9687764,37.2902052,650.17,4.38,23.79,20.7
6670,6083001903,5764,Santa Barbara,93463,Solvang,-120.1378745,34.6243989,402.93,3.26,26.15,22.3
6671,6065045117,3969,Riverside ,92260,Palm Desert,-116.3757329,33.7163278,438.09,2.76,25.64,33.1
6672,6003010000,1175,Alpine ,96120,Markleeville,-119.7989986,38.6176096,70.6,3.88,18.39,39.6
6673,6083000600,4629,Santa Barbara,93103,Santa Barbara,-119.6891123,34.4372104,229.7,3.15,40.78,19.6
6674,6081610000,4531,San Mateo,94062,Redwood City,-122.2412328,37.4844567,466.29,4.25,27.13,15.1
6675,6059032047,3652,Orange ,92691,Mission Viejo,-117.6420514,33.6575536,407.11,4.38,17.17,15.4
6676,6075015700,7832,San Francisco,94118,San Francisco,-122.4480069,37.7789154,602.49,3.98,23.2,20
6677,6085508507,3066,Santa Clara,95051,Santa Clara,-121.9984125,37.3562527,858.25,3.61,17.72,20.6
6678,6037573601,6114,Los Angeles,90808,Long Beach,-118.1316155,33.8262896,550.67,3.97,30.62,10.8
6679,6059063500,5775,Orange ,92663,Newport Beach,-117.9402584,33.6201747,763.65,5.43,27.7,16.9
6680,6075020700,5171,San Francisco,94110,San Francisco,-122.4235588,37.759168,379.56,3.38,57.85,19.1
6681,6085508404,6023,Santa Clara,94087,Sunnyvale,-122.0416426,37.3646098,627.87,4.86,16.43,13.9
6682,6075013400,3599,San Francisco,94115,San Francisco,-122.440799,37.789849,749.91,4.19,64.21,13.8
6683,6093000800,3412,Siskiyou ,96031,Forks of Salmon,-123.0110405,41.327554,43.87,3.13,30.82,52.4
6684,6073001900,2939,San Diego,92116,San Diego,-117.1196457,32.7696657,3486.53,4.57,38.84,16.1
6685,6097153703,3490,Sonoma ,95446,Guerneville,-123.0055208,38.4759155,228.09,3.43,31.7,40.5
6686,6061021109,5012,Placer ,95677,Rocklin,-121.2189633,38.78155,1280.4,3.75,44.67,12.4
6687,6073013601,5053,San Diego,91941,La Mesa,-116.9758103,32.7537922,629.59,2.9,44.91,27.7
6688,6073009103,3679,San Diego,92110,San Diego,-117.1956419,32.7878017,1578.26,4.32,28.83,24.5
6689,6059099244,3730,Orange ,92646,Huntington Beach,-117.9754563,33.664956,518.21,4.07,29.26,14.4
6690,6085506701,3954,Santa Clara,95008,Campbell,-121.9793326,37.2706408,1160.64,4.16,24.67,5.5
6691,6079010503,5339,San Luis Obispo,93442,Morro Bay,-120.8585435,35.3950312,307.28,3.71,29.7,31.7
6692,6085507807,3219,Santa Clara,95014,Cupertino,-122.0405535,37.3124131,1041.35,4.92,10.61,7.1
6693,6085506101,4615,Santa Clara,95051,Santa Clara,-121.984583,37.3341541,819.57,4.21,25.15,13
6694,6055200706,3283,Napa ,94558,Napa,-122.3302221,38.3307724,208.15,3.13,43.97,15.3
6695,6073020024,4175,San Diego,92069,San Marcos,-117.124725,33.1471367,330.83,3.29,19.18,22.6
6696,6075035202,4322,San Francisco,94122,San Francisco,-122.5061466,37.7613974,342.3,3.08,24.56,28.3
6697,6073018802,8122,San Diego,92028,Fallbrook,-117.1998988,33.3337164,808.86,3.92,29.58,20.3
6698,6055201700,5373,Napa ,94508,Angwin,-122.4283032,38.5549587,142.25,3.91,25.9,27.2
6699,6059021921,4496,Orange ,92808,Anaheim,-117.7543976,33.8549585,1497.72,4.57,21.17,6.7
6700,6075047702,3824,San Francisco,94121,San Francisco,-122.4837889,37.7744602,689.25,3.42,23.94,22.4
6701,6037194300,3029,Los Angeles,90069,West Hollywood,-118.3875164,34.1016653,1293.73,5.67,12.38,15.2
6702,6059052526,4355,Orange ,92604,Irvine,-117.7840842,33.7011607,1659.31,4.6,25.39,13.2
6703,6085512031,4406,Santa Clara,95123,San Jose,-121.8102526,37.231546,344.36,2.83,36.57,10.5
6704,6037137302,4338,Los Angeles,91367,Woodland Hills,-118.6541956,34.177348,727.73,3.84,33.41,11.2
6705,6041106002,5625,Marin ,94903,San Rafael,-122.5028113,38.0055686,1135.2,3.41,36.4,21.9
6706,6037620800,7575,Los Angeles,90266,Manhattan Beach,-118.3876372,33.8802482,758.77,5.19,15.14,9.3
6707,6065043265,6142,Riverside ,92592,Temecula,-117.0839947,33.4917233,332.96,4.15,26.11,12.8
6708,6067008125,5265,Sacramento ,95610,Citrus Heights,-121.2551672,38.7059233,609.86,2.65,53.3,32.4
6709,6083000200,4299,Santa Barbara,93105,Santa Barbara,-119.7377491,34.4348903,1134.03,4.51,24.66,19.3
6710,6037620522,4632,Los Angeles,90278,Redondo Beach,-118.3749726,33.8764601,682.16,4.48,24.33,17.3
6711,6045011400,4469,Mendocino ,95482,Ukiah,-123.2304257,39.1424071,309.4,3.27,81.53,26.2
6712,6037650501,3063,Los Angeles,90503,Torrance,-118.3586819,33.8537952,750.76,5.59,26.92,13.7
6713,6073013411,4999,San Diego,91902,Bonita,-117.0130151,32.6602275,617.45,3.52,26.12,12.9
6714,6085508304,7957,Santa Clara,94087,Sunnyvale,-122.0369674,37.3448183,625.45,4.09,14.26,23.3
6715,6013355110,4197,Contra Costa,94531,Antioch,-121.7692731,37.967884,408.25,1.89,119.04,17.4
6716,6081611000,5707,San Mateo,94061,Redwood City,-122.2335642,37.4662884,327.16,3.08,51.35,16.4
6717,6073009202,4428,San Diego,92123,San Diego,-117.1428842,32.7860364,1609.82,5.41,28.89,18.8
6718,6067004011,3086,Sacramento ,95831,Sacramento,-121.5288152,38.4819076,250.47,2.57,49.96,8.9
6719,6085502500,6187,Santa Clara,95125,San Jose,-121.89284,37.2931927,527.57,4.68,36.04,9.7
6720,6059032035,2373,Orange ,92692,Mission Viejo,-117.6404935,33.6324425,351.04,3.56,24.23,11.2
6721,6065043257,7034,Riverside ,92592,Temecula,-116.9898216,33.4497328,261.59,4.01,23.75,9.6
6722,6037800324,6664,Los Angeles,91301,Agoura Hills,-118.7795834,34.1504051,1533.65,5.35,19.43,9
6723,6037570002,2699,Los Angeles,90712,Lakewood,-118.1294697,33.8646532,533.6,4.24,44.1,18
6724,6013307101,4166,Contra Costa,94509,Antioch,-121.8155925,37.9865794,383.49,2.07,178.9,36.1
6725,6059062636,3690,Orange ,92656,Aliso Viejo,-117.7170668,33.5832392,769.12,4.35,22.13,13.5
6726,6073017034,4747,San Diego,92129,San Diego,-117.0908369,32.9901496,1908.35,3.68,16.04,11.4
6727,6073021205,6801,San Diego,91901,Alpine,-116.7811501,32.8287974,491.09,3.49,32.06,29.1
6728,6037800325,3407,Los Angeles,91361,Westlake Village,-118.8174173,34.1447221,742.51,4.66,16.39,15.5
6729,6007000401,1771,Butte ,95973,Chico,-121.894685,39.7660786,137.41,4.31,32.39,39
6730,6073017037,5880,San Diego,92129,San Diego,-117.1190243,32.9493661,1401.42,3.43,21.54,20.1
6731,6089011803,2923,Shasta ,96003,Redding,-122.2860952,40.7399422,229.29,1.96,51.96,48.5
6732,6013338102,3601,Contra Costa,94518,Concord,-122.0423399,37.9413456,890.74,3.34,45.53,13.1
6733,6037577400,3253,Los Angeles,90803,Long Beach,-118.1351139,33.7629063,582.96,4.07,28.26,18.7
6734,6079011102,5127,San Luis Obispo,93401,San Luis Obispo,-120.657254,35.2687981,698.1,3.86,30.83,41
6735,6075015600,2728,San Francisco,94118,San Francisco,-122.4564254,37.7782427,454.08,3.55,22.64,23.5
6736,6001443322,2985,Alameda ,94539,Fremont,-121.9198352,37.482983,1543.9,5.2,20.59,6.2
6737,6075010400,4545,San Francisco,94133,San Francisco,-122.4075581,37.8022725,578.36,4.92,34.19,15.7
6738,6001400400,3703,Alameda ,94609,Oakland,-122.2574628,37.8482107,1153.54,3.76,60.86,16.8
6739,6097150202,5103,Sonoma ,95476,Sonoma,-122.4393662,38.318835,487.64,4.12,25.14,25.2
6740,6073017014,2416,San Diego,92128,San Diego,-117.0682214,33.0159951,1299.97,3.89,18.72,26
6741,6017031301,3408,El Dorado,95709,Camino,-120.6900981,38.7487648,254.08,3.36,43.61,18.8
6742,6071002021,5201,San Bernardino,91739,Rancho Cucamonga,-117.556851,34.152255,1217.87,5.16,19.6,9.8
6743,6073008345,3254,San Diego,92122,San Diego,-117.1916155,32.8501753,1732.89,5.7,16.55,19.4
6744,6073017039,6921,San Diego,92128,San Diego,-117.0877455,32.9526715,1577.72,4.6,15.86,11.3
6745,6097151700,6978,Sonoma ,95405,Santa Rosa,-122.660775,38.4493765,633.29,3.26,38.48,28.4
6746,6073013905,3676,San Diego,91977,Spring Valley,-116.9900814,32.7222385,536.56,2.84,71.01,20.4
6747,6055201300,2933,Napa ,94599,Yountville,-122.3669283,38.3955272,706.03,4.18,20.91,21.4
6748,6001423601,2642,Alameda ,94705,Berkeley,-122.2587175,37.8588968,671.54,3.37,28.81,30.9
6749,6059075814,3327,Orange ,92867,Orange,-117.8056228,33.831656,391.4,4.51,21.18,13.6
6750,6085509302,2978,Santa Clara,94043,Mountain View,-122.1006423,37.409233,499.02,4.92,19.73,11
6751,6037920303,1446,Los Angeles,91311,Chatsworth,-118.6106718,34.3160081,1736.26,6.15,27.74,18
6752,6059099404,4505,Orange ,92647,Huntington Beach,-118.0193307,33.7074614,686.21,4.53,27.77,15.2
6753,6073017603,2476,San Diego,92024,Encinitas,-117.2904158,33.0576984,2488.19,4.74,18.52,21.7
6754,6075032801,4238,San Francisco,94116,San Francisco,-122.4804177,37.7460215,1778.41,3.02,25.91,23.4
6755,6073017009,4024,San Diego,92064,Poway,-117.0283696,32.9677095,438.97,3.68,24.35,17.5
6756,6067007904,4797,Sacramento ,95628,Fair Oaks,-121.3002417,38.656309,817.81,3.54,42,19.1
6757,6095253201,4713,Solano ,95688,Vacaville,-122.0115118,38.3703216,147.39,3.1,76.48,9.5
6758,6059021816,4833,Orange ,92886,Yorba Linda,-117.7948035,33.8780654,550.71,5.53,22.43,13.8
6759,6073013605,5622,San Diego,91941,La Mesa,-116.9481393,32.7589751,759.65,3.55,28.73,18.7
6760,6073009502,3659,San Diego,92124,San Diego,-117.1102052,32.8336423,1352.35,4.53,28.68,15.5
6761,6073016612,6143,San Diego,92071,Santee,-116.9941684,32.8723023,395.27,3.8,38.77,14.4
6763,6081605000,7603,San Mateo,94010,Burlingame,-122.3898031,37.5815575,806.92,5.05,22.41,19.2
6764,6073017702,2777,San Diego,92024,Encinitas,-117.2996671,33.0572295,565.89,3.85,18.52,22.6
6765,6073008364,4992,San Diego,92122,San Diego,-117.2274041,32.8599014,2559.39,4.17,14.33,31.7
6766,6041109001,3853,Marin ,94901,San Rafael,-122.5305318,37.9815305,1765.67,3.65,31.68,23.2
6767,6087122100,3267,Santa Cruz,95003,Aptos,-121.913426,36.9717451,971.46,2.87,24.91,21
6768,6067007104,7689,Sacramento ,95835,Sacramento,-121.5182326,38.6726382,314.45,2.04,52.62,24.9
6769,6073016809,5486,San Diego,92021,El Cajon,-116.8941897,32.8295319,1028.38,3.37,54.39,19.3
6770,6089012601,5195,Shasta ,96065,Montgomery Creek,-121.994176,40.8731168,104.92,3.08,21.71,33.4
6771,6087122201,6269,Santa Cruz,95003,Aptos,-121.8771977,36.9736247,603.7,3.33,24.91,21.8
6772,6073017043,5535,San Diego,92131,San Diego,-117.1057659,32.9282044,2778.76,4.2,15.33,9.7
6773,6001430101,6523,Alameda ,94552,Castro Valley,-122.0152514,37.7272587,1503.18,3.53,23.11,14.7
6774,6075035201,5300,San Francisco,94122,San Francisco,-122.5104339,37.7566148,411.9,2.55,19.41,22.5
6775,6037430600,4505,Los Angeles,91006,Arcadia,-118.0470542,34.1553775,2029.44,6.06,15.11,13.6
6776,6075013500,2556,San Francisco,94115,San Francisco,-122.4325551,37.7908976,672.03,4.43,45.91,10.9
6777,6037574100,5098,Los Angeles,90808,Long Beach,-118.122827,33.8138403,446.27,5.55,25.77,12.5
6778,6065043267,6705,Riverside ,92591,Temecula,-117.1047166,33.5207723,317.16,4.24,24.54,12.8
6779,6037920119,1896,Los Angeles,91384,Castaic,-118.6355485,34.4635721,310.91,3.18,16.52,9.4
6780,6079012502,4985,San Luis Obispo,93422,Atascadero,-120.6548827,35.4934879,439.8,2.81,39.64,32.7
6781,6037271500,2937,Los Angeles,90066,Los Angeles,-118.4382414,34.0166822,1276.77,5.28,29.63,14.9
6782,6015000104,1881,Del Norte,95531,Crescent City,-124.1930607,41.7755135,478.35,1.39,66.46,55.3
6783,6075026002,3544,San Francisco,94112,San Francisco,-122.4262823,37.7261197,397.2,2.49,39.46,26.3
6784,6001451703,3859,Alameda ,94550,Livermore,-121.8009991,37.6672948,397.3,3.49,30.79,7.6
6785,6073017813,4106,San Diego,92011,Carlsbad,-117.3269889,33.1220083,2020.35,6.64,18.54,17.5
6786,6061022800,4320,Placer ,95678,Roseville,-121.2771141,38.789047,1274.51,2.93,47.56,12.2
6787,6065044929,3908,Riverside ,92260,Palm Desert,-116.382169,33.7488598,459.2,2.63,30.8,30.3
6788,6017030810,3437,El Dorado,95682,Shingle Springs,-120.9937862,38.6862022,390.16,2.77,29.36,38.7
6789,6071000816,3906,San Bernardino,91784,Upland,-117.6607959,34.1280325,1184.86,5.31,31.39,9.6
6790,6037300702,5604,Los Angeles,91207,Glendale,-118.2629218,34.1823785,641.95,5.52,16.84,13.3
6791,6059075808,3404,Orange ,92869,Orange,-117.8204295,33.7769301,4746.97,5.9,20.68,19.8
6792,6073008354,5972,San Diego,92129,San Diego,-117.1186741,32.9332185,2841.35,3.99,15.41,20.4
6793,6087122400,7167,Santa Cruz,95076,Watsonville,-121.7979629,37.001101,452.73,4.75,29.22,19.1
6794,6081606800,3234,San Mateo,94402,San Mateo,-122.3377716,37.5294551,704.73,4.1,39.17,6
6795,6075012700,3492,San Francisco,94123,San Francisco,-122.4447181,37.8049898,632.84,4.83,13.45,8.1
6796,6059052506,2490,Orange ,92604,Irvine,-117.7807058,33.6856826,357.96,5.6,18.86,12.9
6797,6059021824,2678,Orange ,92886,Yorba Linda,-117.7692769,33.8986741,311.11,3.91,21.1,5.6
6798,6067004008,3596,Sacramento ,95831,Sacramento,-121.5470459,38.489903,176.11,3,49.96,22.8
6799,6073001000,4733,San Diego,92116,San Diego,-117.1417318,32.7603326,499.93,4.28,38.28,24.6
6800,6081613502,5975,San Mateo,94019,Half Moon Bay,-122.4708033,37.521253,247.8,3.65,38.14,17.5
6801,6111007300,1930,Ventura ,91320,Newbury Park,-118.986805,34.1023158,255.44,3.56,8.3,14.5
6802,6085503322,4173,Santa Clara,95148,San Jose,-121.7977322,37.3413456,309.43,2.7,29.34,22.1
6803,6037800331,766,Los Angeles,91362,Thousand Oaks,-118.7998264,34.1572716,1031.27,5.47,24.38,10.3
6804,6111007202,4313,Ventura ,91362,Thousand Oaks,-118.8320102,34.1843442,801.28,3.97,28.28,5
6805,6059099511,3182,Orange ,90740,Seal Beach,-118.1069698,33.7393938,795.02,5.11,26.43,14.3
6806,6065044918,3030,Riverside ,92270,Rancho Mirage,-116.4015518,33.7631302,444.86,3.4,25.28,24.3
6807,6019006405,4795,Fresno ,93619,Clovis,-119.5618119,37.004659,166.46,5.63,20.87,24
6808,6037480201,3907,Los Angeles,91775,San Gabriel,-118.1107586,34.1081475,604.18,6.2,17.19,13.5
6809,6037480500,5485,Los Angeles,91030,South Pasadena,-118.1449225,34.108241,687.51,5.89,14.46,11.6
6810,6041104101,7819,Marin ,94947,Novato,-122.5643084,38.0792992,771.79,3.71,30.4,24.1
6811,6059062641,4249,Orange ,92637,Laguna Woods,-117.7260302,33.601944,503.22,4.34,20.19,16.9
6812,6067009637,6003,Sacramento ,95757,Elk Grove,-121.4250605,38.3868483,261.7,2.06,48.03,22.1
6813,6083002913,3596,Santa Barbara,93111,Santa Barbara,-119.8068138,34.4465699,790.83,3.69,30.3,20.1
