id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
,Los Angeles,Los Angeles,86.6,86.6,,,1.233881163,1.233881163,5.901391843,5.901391843,5.901391843,832.79,832.79,832.79,63.39,63.39,63.39,
,Inglewood,Inglewood,53.7,53.7,,,1.624843162,1.624843162,4.100626149,4.100626149,4.100626149,2485.36,2485.36,2485.36,86.66,86.66,86.66,
,Los Angeles,Los Angeles,83.1,83.1,,,1.396937574,1.396937574,9.594863822,9.594863822,9.594863822,4700.41,4700.41,4700.41,95.56,95.56,95.56,
,Van Nuys,Van Nuys,70.2,70.2,,,1.756656017,1.756656017,3.522491592,3.522491592,3.522491592,2612,2612,2612,74.19,74.19,74.19,
,Glendale,Glendale,48.5,48.5,,,1.355951057,1.355951057,11.49424452,11.49424452,11.49424452,854.2,854.2,854.2,72.69,72.69,72.69,
,Los Angeles,Los Angeles,74.7,74.7,,,1.539166667,1.539166667,5.750542289,5.750542289,5.750542289,502.69,502.69,502.69,64,64,64,
,San Bernardino,San Bernardino,82.1,82.1,,,1.157480315,1.157480315,5.248485819,5.248485819,5.248485819,938.53,938.53,938.53,111.82,111.82,111.82,
,Los Angeles,Los Angeles,57.9,57.9,,,1.809294872,1.809294872,5.20402414,5.20402414,5.20402414,944.9,944.9,944.9,79.03,79.03,79.03,
,Compton,Compton,35.5,35.5,,,2.042927903,2.042927903,2.547927991,2.547927991,2.547927991,1102.68,1102.68,1102.68,90.19,90.19,90.19,
,Long Beach,Long Beach,84.3,84.3,,,1.076569678,1.076569678,6.87266442,6.87266442,6.87266442,633.62,633.62,633.62,112.42,112.42,112.42,
,Stockton,Stockton,63.3,63.3,,,1.922140061,1.922140061,1.953402821,1.953402821,1.953402821,486.11,486.11,486.11,86.39,86.39,86.39,
