id,state,abbr,pollution,poverty,ageMoe,cars,density,traffic,asthma,-0.385218228
,Pacoima,Pacoima,8.09,57.6,,2.525264395,2.282798562,1816.25,57.29,
,Moreno Valley,Moreno Valley,7.18,61.8,,2.094637224,4.019285553,685.71,56.62,
,Los Angeles,Los Angeles,6.23,71.9,,1.295527157,7.634013808,3617.7,92.97,
,Los Angeles,Los Angeles,6.45,75.3,,1.576569038,7.675728909,644.17,88.42,
,Oakland,Oakland,6.2,66.5,,1.096410256,6.552388509,411.44,161.73,
,Bakersfield,Bakersfield,7.25,67,,2.038095238,0.033346479,210.71,76.89,
,Sun Valley,Sun Valley,8.54,47.7,,2.394304491,2.167229251,1508.63,76.89,
,Carson,Carson,8.43,30.4,,2.32950709,2.77176478,2376.9,60.31,
,San Diego,San Diego,6.62,77.7,,1.474480151,6.673432252,763.55,104.87,
,MC Farland,MC Farland,7.44,56.4,,2.242772424,0.020170683,281.59,52.62,
,Bakersfield,Bakersfield,7.17,59.2,,1.709109731,1.726014549,609.11,91.47,
,Los Angeles,Los Angeles,6.45,70.7,,1.151612903,13.28275966,4043.36,92.32,
,Riverside,Riverside,7.68,79.6,,1.437431991,6.674491648,762.99,62.49,
,Stockton,Stockton,8.06,64,,1.870461237,0.098426614,589.87,53.28,
,Los Angeles,Los Angeles,7.89,64.8,,1.278917145,12.20327621,1545.4,54.41,
,Pico Rivera,Pico Rivera,8.19,42.7,,1.999107939,1.223712704,723.79,63.24,
,Compton,Compton,6.8,62.3,,1.677443057,6.314429522,585.05,94.08,
,Fresno,Fresno,6.35,72.4,,1.298943443,3.395888384,1026.47,125.06,
,Riverside,Riverside,7.55,45.4,,2.437131631,0.41598983,1649.62,54.2,
,Los Angeles,Los Angeles,7.82,62.7,,1.619784657,7.818926383,2413.14,53.1,
,Los Angeles,Los Angeles,7.27,79.3,,1.412244898,6.758272336,791.01,63.52,
,Bell,Bell,8.08,60.9,,2.018259936,4.949903758,578.32,43.88,
,Los Angeles,Los Angeles,7.93,51,,1.943742824,6.223974731,1932.71,53.1,
